,company name,position,worktime,City
223,Doğuş İnşaat ve Ticaret A.Ş.,Proje Maliyet Kontrol Şefi (Ankara),Tam zamanlı,Ankara
224,Şişecam,Çevre Mühendisi,Tam zamanlı,Mersin
225,Türk Ekonomi Bankası A.Ş.,Burdur Şubesi Bireysel Müşteri İlişkileri Yönt,Tam zamanlı,Burdur
226,Coca-Cola İçecek ŞİMŞEK GIDA,Satış Temsilcisi,Tam zamanlı,Antalya
227,Anadolu Efes,Bölge Satış Raporlama Uzmanı(İzmir),Tam zamanlı,Türkiye
228,Türk Ekonomi Bankası A.Ş.,Zonguldak Kitle Bankacılığı Mobil Satış Temsilcisi,Tam zamanlı,Zonguldak
229,TEB - Türk Ekonomi Bankası,Teb Arval :Muhasebe Yönetici Yardımcısı/Yöneticisi,Tam zamanlı,İstanbul(Avr.)
230,Manpower,Portföy Yöneticisi,Tam zamanlı,İstanbul(Avr.)
231,Manpower,Mağaza Satış Danışmanı,Tam zamanlı,İstanbul(Avr.)
232,Mondelez International,Product Change Manager,Tam zamanlı,Kocaeli
